name,x,y,z,note
1,0,0,0,origin V001_R001
2,3500,0,0,x-axis V008_R001
3,0,0,1500,xy-plane V001_R004
4,0,0,500,V001_R002
5,0,0,1000,V001_R003
6,0,0,2000,V001_R005
7,500,0,0,V002_R001
8,500,0,500,V002_R002
9,500,0,1000,V002_R003
10,500,0,1500,V002_R004
11,500,0,2000,V002_R005
12,1000,0,0,V003_R001
13,1000,0,500,V003_R002
14,1000,0,1000,V003_R003
15,1000,0,1500,V003_R004
16,1000,0,2000,V003_R005
17,1500,0,0,V004_R001
18,1500,0,500,V004_R002
19,1500,0,1000,V004_R003
20,1500,0,1500,V004_R004
21,1500,0,2000,V004_R005
22,2000,0,0,V005_R001
23,2000,0,500,V005_R002
24,2000,0,1000,V005_R003
25,2000,0,1500,V005_R004
26,2000,0,2000,V005_R005
27,2500,0,0,V006_R001
28,2500,0,500,V006_R002
29,2500,0,1000,V006_R003
30,2500,0,1500,V006_R004
31,2500,0,2000,V006_R005
32,3000,0,0,V007_R001
33,3000,0,500,V007_R002
34,3000,0,1000,V007_R003
35,3000,0,1500,V007_R004
36,3000,0,2000,V007_R005
37,3500,0,500,V008_R002
38,3500,0,1000,V008_R003
39,3500,0,1500,V008_R004
40,3500,0,2000,V008_R005
41,4000,0,0,V009_R001
42,4000,0,500,V009_R002
43,4000,0,1000,V009_R003
44,4000,0,1500,V009_R004
45,4000,0,2000,V009_R005
