source,magnitude,unit,trans_err_mm_mean,trans_err_mm_std,rot_err_deg_mean,rot_err_deg_std,validation_rms_px_mean,n_seeds
pixel_noise,0.0,px,0.0,0.0,0.0,0.0,0.0,3
pixel_noise,0.25,px,0.0758,0.0181,0.00291,0.00061,0.3441,3
pixel_noise,0.5,px,0.1525,0.0369,0.00578,0.00134,0.688,3
pixel_noise,1.0,px,0.3731,0.1361,0.0137,0.00346,1.3776,3
pixel_noise,2.0,px,0.7602,0.251,0.02649,0.00873,2.7561,3
tracker_trans,0.0,mm,0.0,0.0,0.0,0.0,0.0,3
tracker_trans,1.0,mm,0.5115,0.2148,0.00797,0.00351,0.795,3
tracker_trans,2.0,mm,1.2037,0.5728,0.01833,0.00678,1.5658,3
tracker_trans,5.0,mm,2.768,1.3524,0.0578,0.02071,3.8478,3
tracker_trans,10.0,mm,5.2793,2.3351,0.11493,0.04435,7.5832,3
tracker_rot,0.0,deg,0.0,0.0,0.0,0.0,0.0,3
tracker_rot,0.05,deg,0.6764,0.3092,0.01834,0.00494,1.0754,3
tracker_rot,0.1,deg,1.2135,0.6135,0.03567,0.0078,2.1195,3
tracker_rot,0.2,deg,2.2184,1.1853,0.06254,0.01568,4.1686,3
tracker_rot,0.5,deg,5.5171,3.2717,0.148,0.05452,10.3176,3
handeye_trans,0.0,mm,0.0,0.0,0.0,0.0,0.0,3
handeye_trans,5.0,mm,4.8809,0.1611,0.01157,0.01085,0.3437,3
handeye_trans,10.0,mm,9.7697,0.3317,0.02291,0.0225,0.6916,3
handeye_trans,20.0,mm,19.6836,0.6293,0.04861,0.04741,1.4011,3
handeye_trans,40.0,mm,39.5682,1.3086,0.10166,0.09531,2.8178,3
outliers,0.0,frac,0.0,0.0,0.0,0.0,0.0,3
outliers,0.05,frac,0.1045,0.0496,0.00226,0.00086,213.917,3
outliers,0.1,frac,0.2949,0.1396,0.00586,0.00095,253.8982,3
outliers,0.2,frac,0.7259,0.1655,0.00729,0.00384,387.8755,3
temporal_moving,0.0,frames,0.0,0.0,0.0,0.0,0.0,3
temporal_moving,0.5,frames,9.7329,6.9607,1.20549,0.04411,5.1549,3
temporal_moving,1.0,frames,19.5782,13.9643,2.40365,0.08916,10.3605,3
temporal_moving,2.0,frames,44.7052,28.7426,4.69541,0.14156,20.2408,3
temporal_moving,4.0,frames,80.9849,40.7872,8.10296,0.82336,36.507,3
